Company , Domain , SecurityGateway , Mail Domain , MX
Allmerica Financial , allmerica.com ,  , Office365 , allmerica-com.mail.eo.outlook.com
USG , usg.com ,  , own-domain , mail01.usg.com
Yellow , yellowcorp.com ,  ,  , osmtp01.yrcw.com
Northern Trust Corp. , northerntrust.com , ProofPoint , unknown , mxa-00185f01.gslb.pphosted.com
JDS Uniphase , jdsuniphase.com , ProofPoint , unknown , mxb-00158d01.gslb.pphosted.com
Lyondell Chemical , lyondell.com , Cisco , unknown , mx2.lyondellbasell.iphmx.com
Airborne , airborne.com ,  , Google , aspmx.l.google.com
Comdisco , comdisco.com , SpamExperts / SolarWinds , unknown , mx.spamexperts.com
NSTAR , eversource.com , ProofPoint , unknown , mxa-0018e401.gslb.pphosted.com
OGE Energy , oge.com ,  , Office365 , oge-com.mail.protection.outlook.com
Staff Leasing , trinet.com ,  , own-domain , mx2.trinet.com
PepsiAmericas , pepsiamericas.com ,  ,  , mail.pepsico.com
Cooper Tire & Rubber , coopertire.com ,  ,  , mail1.cooperworld.net
Coventry Health Care , coventryhealth.com ,  , Office365 , coventryhealth-com.mail.protection.outlook.com
Armstrong Holdings , armstrong.com ,  , Office365 , armstrong-com.mail.protection.outlook.com
Equity Office Properties , equityoffice.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Lennox International , lennox.com ,  , Office365 , lennox-com.mail.protection.outlook.com
American Axle & Mfg. , aam.com ,  , Office365 , aam-com.mail.protection.outlook.com
New York Times , nytco.com ,  ,  , nyt-smtp-01.nytimes.com
Hughes Supply , hughessupply.com , Cisco , unknown , mx2.hajoca.iphmx.com
Vulcan Materials , vulcanmaterials.com ,  ,  , smtprelay01.vul.com
Universal , universalcorp.com ,  , Office365 , universalcorp-com.mail.protection.outlook.com
Neiman Marcus , neimanmarcus.com ,  , Google , aspmx.l.google.com
3Com , 3com.com , ProofPoint , unknown , mxb-00010e01.gslb.pphosted.com
H&R Block , hrblock.com , Cisco , unknown , mx2.hc2079-83.iphmx.com
Reebok International , reebok.com ,  ,  , mx.adidas-group.com
Trigon Healthcare , trigon.com , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
Unified Western Grocers , uwgrocers.com ,  , Office365 , uwgrocers-com.mail.protection.outlook.com
Payless Shoesource , paylessshoesource.com ,  , Office365 , paylessshoesource-com.mail.protection.outlook.com
TruServ , truserv.com ,  , Office365 , truserv-com.mail.protection.outlook.com
Pioneer-Standard Electronics , agilysys.com , Barracuda , unknown , d124834a.ess.barracudanetworks.com
Knight-Ridder , kri.com ,  ,  , MCFARLINS.COM.S7A1.PSMTP.com
Ace Hardware , acehardware.com ,  , Office365 , acehardware-com.mail.protection.outlook.com
Fisher Scientific International , fischersci.com ,  ,  , mx01.1and1.com
Hasbro , hasbro.com ,  , Office365 , hasbro-com.mail.protection.outlook.com
KPMG Consulting , kpmgconsulting.com ,  , own-domain , mail.kpmgconsulting.com
Charter One Financial , charterone.com ,  , Office365 , charterone-com.mail.protection.outlook.com
Thermo Electron , thermo.com , ProofPoint , unknown , mxa-002a2102.gslb.pphosted.com
Transocean Sedco Forex , deepwater.com , ProofPoint , unknown , mxb-00122101.gslb.pphosted.com
Solutia , solutia.com ,  , Office365 , solutia-com.mail.protection.outlook.com
Pactiv , pactiv.com , ProofPoint , unknown , mxa-00006001.gslb.pphosted.com
Wackenhut , wackenhut.com ,  , Google , aspmx.l.google.com
Pentair , pentair.com , ProofPoint , unknown , mxa-00220d01.gslb.pphosted.com
Roadway , roadway.com ,  ,  , osmtp01.yrcw.com
Alliant Energy , alliant-energy.com ,  ,  , escan1.alliantenergy.com
Ruddick , ruddickcorp.com ,  , own-domain , ruddickcorp.com
Ryland Group , ryland.com ,  , Office365 , ryland-com.mail.protection.outlook.com
IMC Global , mosaicco.com ,  , Office365 , mosaicco-com.mail.protection.outlook.com
Spherion , spherion.com ,  , Google , ASPMX.L.GOOGLE.com
Beverly Enterprises , beverlynet.com ,  ,  , localhost
Marshall & Ilsley Corp. , micorp.com ,  ,  , bmfgmx06.bmofg.com
Guidant , guidant.com , Cisco , unknown , mx1.bsci.iphmx.com
Torchmark , torchmarkcorp.com , ProofPoint , unknown , mx0a-00218002.pphosted.com
Manor Care , hcr-manorcare.com ,  , Office365 , hcrmanorcare-com0i.mail.protection.outlook.com
Triad Hospitals , triadhospitals.com ,  , own-domain , triadhospitals.com
PolyOne , polyone.com ,  , Office365 , polyone-com.mail.protection.outlook.com
TECO Energy , tecoenergy.com ,  ,  , smtp1.tampaelectric.com
Sovereign Bancorp , sovereignbank.com ,  ,  , smtp2.santandergroup.net
Pantry , thepantry.com ,  , Office365 , thepantry-com.mail.protection.outlook.com
Nacco Industries , nacco.com ,  , Google , aspmx.l.google.com
Stanley Works , stanleyworks.com , ProofPoint , unknown , mxa-00254701.gslb.pphosted.com
Sonoco Products , sonoco.com , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
Earthgrains , saralee.com ,  ,  , pps2.tyson.com
M & T Bank Corp. , mandtbank.com , ProofPoint , unknown , mxa-001e9201.gslb.pphosted.com
Stater Bros. Holdings , staterbros.com ,  , own-domain , mx1.staterbros.com
Citizens Communications , czn.com ,  , Office365 , czn-com.mail.protection.outlook.com
Genesis Health Ventures , ghv.com ,  , GoDaddy , smtp.secureserver.net
Popular , bppr.com ,  , own-domain , bppr.com.mx.evertecinc.net
National Service Industries , nationalservice.com ,  ,  , mail.b-io.co
Nicor , nicor.com , ProofPoint , unknown , mxb-00113601.gslb.pphosted.com
Unitrin , unitrin.com , MessageLabs , unknown , cluster2.us.messagelabs.com
Fleetwood Enterprises , fleetwood.com ,  , own-domain , mail.fleetwood.com
Michaels Stores , michaels.com ,  , Office365 , michaels-com.mail.protection.outlook.com
American Greetings , americangreetings.com , ProofPoint , unknown , mxa-00172901.gslb.pphosted.com
Reader's Digest Association , rd.com ,  , Office365 , rd-com.mail.protection.outlook.com
Service Corp. International , sci-us.com , Cisco , unknown , mx1.sci-us.iphmx.com
Potomac Electric Power , pepco.com ,  ,  , esa-omf-104.exeloncorp.com
PetsMart , petsmart.com ,  , Office365 , petsmart-com.mail.protection.outlook.com
Alberto-Culver , alberto.com ,  , Google , alt1.aspmx.l.google.com
Penn Traffic , penntraffic.com ,  , own-domain , mail.penntraffic.com
Dura Automotive Systems , duraauto.com , ProofPoint , unknown , mxa-0029a301.gslb.pphosted.com
Brinker International , brinker.com ,  , own-domain , smtp.brinker.com
Sabre Holdings , sabre.com , ProofPoint , unknown , mxb-00257e01.gslb.pphosted.com
Tower Automotive , towerautomotive.com ,  , Google , ASPMX.L.GOOGLE.com
Mandalay Resort Group , mandalayresortgroup.com ,  ,  , inbound2.s4.mgmresorts.com
Footstar , footstar.com ,  , GoDaddy , smtp.secureserver.net
USFreightways , usfreightways.com ,  ,  , osmtp01.yrcw.com
First Tennessee National Corp. , firsttennessee.com ,  , own-domain , margate01.firsttennessee.com
Robert Half International , rhi.com ,  , Office365 , rhii-com.mail.protection.outlook.com
Bowater , bowater.com , Cyren Web Security , unknown , p.webcom.ctmail.com
Huntington Bancshares , huntington.com ,  , own-domain , gw4net.huntington-bank.com
Timken , timken.com , MessageLabs , unknown , cluster4.us.messagelabs.com
CellStar , cellstar.com ,  ,  , mx174.mb5p.com
Exide Technologies , exideworld.com ,  , own-domain , exideworld.com.1.0001.arsmtp.com
Wm. Wrigley Jr. , wrigley.com ,  , Office365 , wrigley-com.mail.protection.outlook.com
Adolph Coors , coors.com , MessageLabs , unknown , cluster1.us.messagelabs.com
Phoenix Companies , phoenixwm.com ,  ,  , smtp.phl.com
Washington Post , washingtonpost.com , ProofPoint , unknown , mxa-001a3c01.gslb.pphosted.com
ADC Telecommunications , adc.com ,  , Office365 , adc-com.mail.protection.outlook.com
Wendy's International , wendys.com , MessageLabs , unknown , cluster6.us.messagelabs.com
McCormick , mccormick.com ,  , Office365 , mccormick-com.mail.protection.outlook.com
Molex , molex.com , ProofPoint , unknown , mxb-00164e02.gslb.pphosted.com
