Company , Domain , SecurityGateway , Mail Domain , MX
Broadwing , broadwing.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Weatherford International , weatherford.com ,  , _Office365 , weatherford-com.mail.protection.outlook.com
Convergys , convergys.com ,  , _Office365 , convergys-com.mail.protection.outlook.com
URS , urscorp.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Pennzoil-Quaker State , pennzoil.com ,  , _Office365 , shell-com.mail.protection.outlook.com
Bemis , bemis.com ,  , own-domain , mail050.bemis.com
Kellwood , kellwood.com ,  , _Office365 , kellwood-com.mail.protection.outlook.com
Belk , belk.com ,  , _Office365 , belk-com.mail.protection.outlook.com
Analog Devices , analog.com ,  , _Office365 , analog-com.mail.protection.outlook.com
Peoples Energy , pecorp.com , Cyren Web Security , unknown , p.webcom.ctmail.com
Mail-Well , mail-well.com ,  , Hostinger , mx1.hostinger.com
La-Z-Boy , lazboy.com , ProofPoint , unknown , mx1.la-z-boy.com.gslb.pphosted.com
Ryerson Tull , ryerson.com ,  , _Office365 , ryerson-com.mail.protection.outlook.com
Chiquita Brands International , chiquita.com ,  , _Office365 , chiquita-com.mail.protection.outlook.com
Herman Miller , hermanmiller.com ,  , own-domain , securemail1.hermanmiller.com
Budget Group , drivebudget.com ,  ,  , mail1.ixlhosting.net
BJ Services , bjservices.com , Barracuda , unknown , sdbarracuda.sebodata.com
Toll Brothers , tollbrothers.com , ProofPoint , unknown , mxa-0019ed02.gslb.pphosted.com
Polo Ralph Lauren , ralphlauren.com ,  , own-domain , ns20.ralphlauren.com
Nabors Industries , nabors.com , Cisco , unknown , mx2.nabors.iphmx.com
MDU Resources Group , mdu.com ,  , Google , aspmx.l.google.com
Pilgrim's Pride , pilgrimspride.com , ProofPoint , unknown , mxa-0021de01.gslb.pphosted.com
Tellabs , tellabs.com ,  , _Sherweb Office 365 , mx12-01.sherwebcloud.com
Pep Boys , pepboys.com , ProofPoint , unknown , mxb-00247301.gslb.pphosted.com
Equity Residential Properties , equityapartments.com ,  , Google , aspmx.l.google.com
Vectren , vectren.com ,  , own-domain , mail6.vectren.com
Cintas , cintas.com , Cisco , unknown , esa2.cintas.iphmx.com
Omnicare , omnicare.com , ProofPoint , unknown , mxa-0022b201.gslb.pphosted.com
Maxxam , maxxamlabs.com ,  , own-domain , maxxamlabs.com.1.arsmtp.com
American National Insurance , anico.com ,  , own-domain , mail2.anico.com
Allegheny Technologies , alleghenytechnologies.com , ProofPoint , unknown , mx0a-00270e01.pphosted.com
Outback Steakhouse , outback.com ,  , _Office365 , outback-com.mail.protection.outlook.com
MDC Holdings , richmondamerican.com , ProofPoint , unknown , mxa-00150f02.gslb.pphosted.com
Sun Healthcare Group , genesishcc.com ,  , own-domain , mx170.genesishcc.com
CenturyTel , centurylink.com ,  , own-domain , lxomp51w.centurylink.com
National Semiconductor , national.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Swift Transportation , swifttrans.com , Cisco , unknown , mx1.swifttrans.iphmx.com
CUNA Mutual Group , cunamutual.com ,  , _Office365 , cunamutual-com.mail.protection.outlook.com
Harsco , harsco.com ,  , _Office365 , hsconline.mail.protection.outlook.com
Hillenbrand Industries , hillenbrand.com , ProofPoint , unknown , mxa-0019c401.gslb.pphosted.com
Wyndham International , wyndham.com , ProofPoint , unknown , mxa-00128602.gslb.pphosted.com
Kla-Tencor , kla-tencor.com , ProofPoint , unknown , mxb-00001b01.gslb.pphosted.com
MONY Group , equitable.com ,  , own-domain , i51mrp01.equitable.com
National Fuel Gas , natfuel.com ,  , Google , ASPMX.L.GOOGLE.com
Williams-Sonoma , williams-sonomainc.com , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
Snap-On , snapon.com ,  , Google , aspmx.l.google.com
Mariner Post-Acute Network , marinerhealthcare.com ,  , _Office365 , marinerhealthcare-com.mail.protection.outlook.com
Nortek , nortek.com ,  , _Office365 , nortek-com.mail.protection.outlook.com
Zale , zales.com , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
America West Holdings , americawest.com ,  , _Office365 , aa-com.mail.protection.outlook.com
E*Trade Group , etrade.com ,  , _Office365 , etrade-com.mail.protection.outlook.com
New Jersey Resources , njresources.com , Cisco , unknown , mx2.njng.iphmx.com
Zions Bancorp. , zionsbank.com , ProofPoint , unknown , mxb-00110e01.gslb.pphosted.com
Compuware , compuware.com ,  , _Office365 , compuware-com.mail.protection.outlook.com
RPM , rpminc.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Bell Microproducts , avnet.com ,  , own-domain , smarthost.avnet.com
General Cable Corporation , generalcable.com , ProofPoint , unknown , mxa-00156201.gslb.pphosted.com
Volt Information Sciences , volt.com ,  , _Office365 , volt.mail.protection.outlook.com
Metaldyne , metaldyne.com , Cisco , unknown , mx2.metaldyne.iphmx.com
Charming Shoppes , ascenaretail.com , ProofPoint , unknown , mxb-00217301.gslb.pphosted.com
Weis Markets , weismarkets.com ,  , own-domain , mx10b.weismarkets.com
Beckman Coulter , beckmancoulter.com , ProofPoint , unknown , mxb-001d2f01.gslb.pphosted.com
Protective Life , protective.com ,  , own-domain , plcmail3.protective.com
CBRL Group , cbrlgroup.com , Barracuda , unknown , d63757a.ess.barracudanetworks.com
Scholastic , scholastic.com , MessageLabs , unknown , cluster4.us.messagelabs.com
Harris , harris.com ,  , own-domain , rocxsmtp1.harris.com
Ingles Markets , ingles-markets.com , Mimecast , unknown , us-smtp-inbound-2.mimecast.com
Silgan Holdings , silgan.com , Barracuda , unknown , d117304a.ess.barracudanetworks.com
WGL Holdings , wglholdings.com , MessageLabs , unknown , cluster5.us.messagelabs.com
SunGard Data Systems , sungard.com ,  , _Office365 , fisglobal-com.mail.protection.outlook.com
Safeguard Scientifics , safeguard.com , ProofPoint , unknown , mx1-us1.ppe-hosted.com
Brown-Forman , brown-forman.com ,  , Google , ASPMX.L.GOOGLE.com
Valspar , sherwin.com ,  , own-domain , emhost52.sherwin.com
Flowserve , flowserve.com , ProofPoint , unknown , mxa-001e8d01.gslb.pphosted.com
Teleflex , teleflex.com , Mimecast , unknown , us-smtp-inbound-1.mimecast.com
Compass Bancshares , bbvacompass.com ,  , Google , aspmx.l.google.com
Furniture Brands International , furniturebrands.com ,  , _Office365 , furniturebrands-com.mail.protection.outlook.com
Sentry Insurance Group , sentry.com , ProofPoint , unknown , mxb-00109a02.gslb.pphosted.com
DynCorp , dyn-intl.com , ProofPoint , unknown , mxa-00203701.gslb.pphosted.com
Frontier Oil , hollycorp.com ,  , own-domain , mx1.hollycorp.com
Alpine Group , alpinegroup.com ,  , own-domain , alpinegroup.com.1.arsmtp.com
Corn Products International , ingredion.com , MessageLabs , unknown , cluster5.us.messagelabs.com
Health Management Associates , hma-corp.com ,  , own-domain , hma-corp.com
Marsh Supermarkets , marsh.net ,  , Google , ASPMX.L.GOOGLE.COM
Magellan Health Services , magellanhealth.com ,  , _Office365 , magellanhealth-com.mail.protection.outlook.com
Carlisle , carlisle.com ,  , _Office365 , carlisle-com.mail.protection.outlook.com
